run,trial,status,reason,score,metric_version,maximize,validation_rows,source_sha256
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0001,eligible,,0.9314192883192232,jubias-continuous-auc-v1,True,90244,b7d99f312999a296cacd7de526b94270eed0cf7cb4275fabbce3441bd12a6c28
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0002,eligible,,0.8826742375703629,jubias-continuous-auc-v1,True,90244,29879b834ca0c8bc0e3a39303aa821a59c9311f38a281c82aeb7ecf607818aa9
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0003,eligible,,0.9311948041975047,jubias-continuous-auc-v1,True,90244,df81fd3d8899f0655641053fa4cabec8232e3bdfe0f0c6e05474ea33e8ba9e29
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0004,eligible,,0.9323819562877338,jubias-continuous-auc-v1,True,90244,89dc153e5b5b3694bb39681dc49a14e096b80dea8b665de9a8c65919d727ba65
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0005,excluded,not_completed,,,,,
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0006,eligible,,0.9325001978347817,jubias-continuous-auc-v1,True,90244,fab816c1670dcaa0256c18e79f68ca439afed0d852be59bb431cd324546c36e9
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0007,eligible,,0.9336031618632092,jubias-continuous-auc-v1,True,90244,cc7db41adf6abe6679c63da13329304577b0748b5f37f7dabd2b0601ed15e278
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0008,eligible,,0.9334652398755172,jubias-continuous-auc-v1,True,90244,2b3ed9ef56a3889468dd4874df065c4496cecb4fa3777a84b62c0b37743066fe
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0009,eligible,,0.9345511403187701,jubias-continuous-auc-v1,True,90244,4420bd434fc5b6620f235a3573f3ec7ac1be65c067d1fce51404223deae23180
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0010,eligible,,0.9339689237479627,jubias-continuous-auc-v1,True,90244,32fd6fb22bacced784016ee771900af48faccb6e73aec5f9e2e344e3df9dc15e
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0011,eligible,,0.9346535963991982,jubias-continuous-auc-v1,True,90244,63e36b3087f2f84117ad27ef5ad8e6b5b40a2f3052ca56a5079d31acfe7dc454
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0012,eligible,,0.9327458401978355,jubias-continuous-auc-v1,True,90244,9d1fe4b9db3e8928f7b473b8430e22a1a43eebb4eaf934a274e2acc4ab4b900c
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0013,eligible,,0.9343335735309221,jubias-continuous-auc-v1,True,90244,94d650cbeb25fe298fcf48c62d9756a2fb7f64b032e1e9076e2bab767496c432
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0014,eligible,,0.9358625435779211,jubias-continuous-auc-v1,True,90244,d0dacc681c9bab1bc3ef3b936695cc9344564abed5fa6df55d6e5d353e709b39
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0015,eligible,,0.9361441997283003,jubias-continuous-auc-v1,True,90244,8f36974862110788307fe6b885ccd0c7c87e1c11040c7ed2bcce3aa9980e02fe
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0016,eligible,,0.9360224777505657,jubias-continuous-auc-v1,True,90244,6807a4df06b298b0530bee81b0e9a0743055deb03a8cc927e386ec0904889ac8
jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,trial0017,eligible,,0.9358206995122432,jubias-continuous-auc-v1,True,90244,fbe19704b3dd3ddb9ee055b746cb0b86324b0ae93a48b796bf42790d414f8fdd
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0001,eligible,,0.9273388959743409,jubias-continuous-auc-v1,True,90244,95a06a25763f3a61a766cfef484622e0b7779bd63e12fe362bc7d555ef9b03ac
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0002,eligible,,0.9275278444925803,jubias-continuous-auc-v1,True,90244,ac1cd61534bcd25617bbe03591cc360225ea5d8c677f29485bb87aae137e0e45
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0003,eligible,,0.9267101637008555,jubias-continuous-auc-v1,True,90244,beb540bd26eb959a8d93ba4453da09cd5294abf2f077fb90f1ef591a5b425187
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0004,eligible,,0.9244669442806717,jubias-continuous-auc-v1,True,90244,71386490e5cdc978d7d4a38bddba98986ef4db976526ed840d7acbb30bf2eefd
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0005,eligible,,0.9265881044210111,jubias-continuous-auc-v1,True,90244,76960421057fb23d5ec18132f75ab3b32c4337562314a1182b5e002368e241c1
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0006,eligible,,0.9269910538011865,jubias-continuous-auc-v1,True,90244,d98ebfe320b3535d75f685c8cfb616558aa79a2860cb115289239887c3411423
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0007,excluded,not_completed,,,,,
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0008,eligible,,0.928233877324377,jubias-continuous-auc-v1,True,90244,be9d0940d90df3aa87d79e44d0017a986b587b94769d595b91967b2b94ec6509
jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,trial0009,eligible,,0.9290932704576663,jubias-continuous-auc-v1,True,90244,65702080c256adff5c2e5c074b1150d4cb668ecbd81eb4885a1849cfb4bd5d6f
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0001,eligible,,0.9058042545946556,jubias-continuous-auc-v1,True,90244,f2a029991f8c3f7831474ad8ac602acd80f7a81ec9a59cac4cef2bd268a1d241
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0002,excluded,not_completed,,,,,
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0003,excluded,not_completed,,,,,
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0004,eligible,,0.903721252551024,jubias-continuous-auc-v1,True,90244,bef594f2b191a0902f0436527e65affecf938ab589eef740ee482dc61ea463c3
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0005,eligible,,0.9041429129508406,jubias-continuous-auc-v1,True,90244,d903bc8632fe79bede10b96326a0fa6dc0480f03882dd934b03c246c648012b0
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0006,eligible,,0.9061322199833196,jubias-continuous-auc-v1,True,90244,fa11ddcc180a308ccacd5728490074edc29dfaed65ab88395a4beb48c604770c
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0007,eligible,,0.906199492691036,jubias-continuous-auc-v1,True,90244,94252be34d6b2da7396328bcd069b4b1ef36f958af7f37620071029ac98e59a5
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0008,eligible,,0.9093808951219173,jubias-continuous-auc-v1,True,90244,9078eac49d3bfd26238f2a5e4ef93b32c1d33377176959615c9f1a83cd5a8a2a
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0009,eligible,,0.9116808430656576,jubias-continuous-auc-v1,True,90244,0aba0e686645ce2e6ee72d8b3a457be7514e42880087a3683f5e0896ba63e0c0
jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,trial0010,excluded,not_completed,,,,,
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0001,excluded,not_completed,,,,,
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0002,eligible,,0.9322431342340165,jubias-continuous-auc-v1,True,90244,60b74ecd2d5c6862dd078102fedf65b68434a438cb36a25f609f62cfcd69a36a
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0003,eligible,,0.9320933364033412,jubias-continuous-auc-v1,True,90244,b067939d38758282c87084e439cc81edec503ab00e354795743a84db2ef1c2bd
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0004,eligible,,0.9333547826801202,jubias-continuous-auc-v1,True,90244,722cdcef9a023ec22c89f20e6295be5053205119d0c33c693289ebd09e0867cf
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0005,eligible,,0.9314249350640715,jubias-continuous-auc-v1,True,90244,5f32469726abd0c9f2c3a5577ab4c31b2183e590433b5161d89bd7802f23cb97
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0006,eligible,,0.9321849853349483,jubias-continuous-auc-v1,True,90244,2162d9361c3b87cabb69d7d24dc33e70472842f2d0c4cc90783ea3212e3ca082
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0007,eligible,,0.9313282687724421,jubias-continuous-auc-v1,True,90244,3570d6aa1a8f06674f1d82ed2324281d763a7aaf6879b7927e55cbe8d9a119f7
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0008,eligible,,0.9346300921875077,jubias-continuous-auc-v1,True,90244,77ebf0699d9eea6a9cb7efc3772ed9434ef68174821ef3a0d6866d7852864a1b
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0009,eligible,,0.9323330203338569,jubias-continuous-auc-v1,True,90244,4cf8fe6f21fdcc2191303e4b134a6a4c75b25071b468e5a2cef98faa1b0fd75d
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0010,eligible,,0.9358558232992791,jubias-continuous-auc-v1,True,90244,bdc70702cfd32a4bc9f4031799547e63ce8e7c830f165437ea35e537e944b8ed
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0011,eligible,,0.9358895147481735,jubias-continuous-auc-v1,True,90244,34492fe0ad115851abaf735953f4e4d4b107895f988e0ed01394619d1d2acb78
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0012,eligible,,0.9350825507983942,jubias-continuous-auc-v1,True,90244,713e73615e6b573450c39092fceec916e922980fc4047952277becf4cf127f32
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0013,eligible,,0.9370834719988334,jubias-continuous-auc-v1,True,90244,432a6cfcdae4deabae72bcd8e8e2cbd5f6d8faee39989257c651f66048e27570
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0014,eligible,,0.9360655829275247,jubias-continuous-auc-v1,True,90244,cc602896d7fcd36124639a9a73cc81fe5868412fae4d1dfd63ac0783e6b20165
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0015,eligible,,0.9360306484026887,jubias-continuous-auc-v1,True,90244,e01b950ad18d7587073a9c3267748816b547266d2338bec55203e6fb3828e626
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0016,eligible,,0.9380315705811114,jubias-continuous-auc-v1,True,90244,c9df7eafd7cc9bdd21fee5448d5bff0e8b62be0a479080b5c9d20b0cf94d3237
jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,trial0017,eligible,,0.9378569631202053,jubias-continuous-auc-v1,True,90244,29c892281d4e9091edb509c9f79c17e3cf961e6d4173b340aac4d00123bfe2e0
